时间,伸缩量(mm)
2023-02-03 15:30:00,1579.97
2023-02-03 16:40:00,1574.83
2023-02-03 17:50:00,1574.05
2023-02-03 19:00:00,1574.72
2023-02-03 20:10:00,1577.91
2023-02-03 21:20:00,1582.72
2023-02-03 22:30:00,1588.49
2023-02-03 23:40:00,1593.25
2023-02-04 01:00:00,1596.44
2023-02-04 02:10:00,1598.51
2023-02-04 03:20:00,1599.54
2023-02-04 04:30:00,1599.84
2023-02-04 05:40:00,1600.86
2023-02-04 06:50:00,1601.89
2023-02-04 08:00:00,1602.38
2023-02-04 09:10:00,1602.52
2023-02-04 10:20:00,1602.55
2023-02-04 11:30:00,1602.55
2023-02-04 12:40:00,1602.46
2023-02-04 13:50:00,1602.44
2023-02-04 15:00:00,1602.43
2023-02-04 16:10:00,1602.41
2023-02-04 17:20:00,1602.33
2023-02-04 18:30:00,1602.27
2023-02-04 19:40:00,1602.24
2023-02-04 20:50:00,1602.38
2023-02-04 22:00:00,1602.71
2023-02-04 23:10:00,1604.93
2023-02-05 00:30:00,1608.96
2023-02-05 01:40:00,1612.08
2023-02-05 02:50:00,1615.06
2023-02-05 04:00:00,1618.04
2023-02-05 05:10:00,1620.97
2023-02-05 06:20:00,1623.84
2023-02-05 07:30:00,1626.44
2023-02-05 08:40:00,1627.38
2023-02-05 09:50:00,1627.38
2023-02-05 11:00:00,1625.8
2023-02-05 12:10:00,1623.41
2023-02-05 13:20:00,1618.91
2023-02-05 14:30:00,1610.97
2023-02-05 15:40:00,1602.7
2023-02-05 16:50:00,1596.73
2023-02-05 18:00:00,1595.57
2023-02-05 19:10:00,1595.68
2023-02-05 20:20:00,1597.25
2023-02-05 21:30:00,1600.13
2023-02-05 22:40:00,1604.14
2023-02-05 23:50:00,1608.78
2023-02-06 01:20:00,1614.26
2023-02-06 02:30:00,1617.93
2023-02-06 03:40:00,1621.43
2023-02-06 04:50:00,1624.5
2023-02-06 06:00:00,1626.88
2023-02-06 07:10:00,1629.26
2023-02-06 08:20:00,1630.52
2023-02-06 09:30:00,1630.61
2023-02-06 10:40:00,1628.06
2023-02-06 11:50:00,1615.79
2023-02-06 13:00:00,1600.87
2023-02-06 14:10:00,1593.4
2023-02-06 15:20:00,1584.19
2023-02-06 16:30:00,1577.54
2023-02-06 17:40:00,1576.41
2023-02-06 18:50:00,1576.8
2023-02-06 20:00:00,1579.72
2023-02-06 21:10:00,1584.61
2023-02-06 22:20:00,1589.52
2023-02-06 23:30:00,1594.74
2023-02-07 00:50:00,1599.97
2023-02-07 02:00:00,1604.39
2023-02-07 03:10:00,1608.31
2023-02-07 04:20:00,1611.04
2023-02-07 05:30:00,1612.98
2023-02-07 06:40:00,1614.2
2023-02-07 07:50:00,1614.8
2023-02-07 09:00:00,1614.86
2023-02-07 10:10:00,1614.66
2023-02-07 11:20:00,1613.53
2023-02-07 12:30:00,1609.98
2023-02-07 13:40:00,1603.46
2023-02-07 14:50:00,1599.69
2023-02-07 16:00:00,1597.7
2023-02-07 17:10:00,1596.74
2023-02-07 18:20:00,1596.6
2023-02-07 19:30:00,1596.6
2023-02-07 20:40:00,1596.57
