时间,风向(°)
2023-02-12 02:50:00,126.18
2023-02-12 04:08:00,31.27
2023-02-12 05:26:00,322.75
2023-02-12 06:46:00,158
2023-02-12 08:06:00,145.05
2023-02-12 09:24:00,284.15
2023-02-12 10:43:00,114.57
2023-02-12 12:01:00,304.6
2023-02-12 13:20:00,31.28
2023-02-12 14:39:00,41.53
2023-02-12 15:57:00,252.72
2023-02-12 17:15:00,294.68
2023-02-12 18:33:00,351.57
2023-02-12 19:52:00,302.18
2023-02-12 21:10:00,285.07
2023-02-12 22:29:00,247.95
2023-02-12 23:49:00,246.13
2023-02-13 01:10:00,187.27
2023-02-13 02:28:00,310.6
2023-02-13 03:46:00,41.22
2023-02-13 05:04:00,39.03
2023-02-13 06:22:00,44.28
2023-02-13 07:40:00,42.47
2023-02-13 08:58:00,48.58
2023-02-13 10:17:00,65.4
2023-02-13 11:36:00,60.7
2023-02-13 12:55:00,232.7
2023-02-13 14:13:00,88.58
2023-02-13 15:31:00,68.45
2023-02-13 16:49:00,44.37
2023-02-13 18:07:00,334.48
2023-02-13 19:25:00,336.02
2023-02-13 20:43:00,333.62
2023-02-13 22:01:00,334.3
2023-02-13 23:20:00,317.35
2023-02-14 00:39:00,316.23
2023-02-14 01:58:00,316.75
2023-02-14 03:17:00,313.27
2023-02-14 04:37:00,335.35
2023-02-14 05:56:00,8
2023-02-14 07:14:00,35.08
2023-02-14 08:33:00,349.03
2023-02-14 09:52:00,89.38
2023-02-14 11:10:00,289.7
2023-02-14 12:29:00,164.58
2023-02-14 13:48:00,312.57
2023-02-14 15:07:00,336.45
2023-02-14 16:26:00,340.75
2023-02-14 17:46:00,341
2023-02-14 19:05:00,344.5
2023-02-14 20:25:00,298.52
2023-02-14 21:44:00,338.73
2023-02-14 23:03:00,327.37
2023-02-15 00:24:00,344.13
2023-02-15 01:42:00,225.58
2023-02-15 03:01:00,336.12
2023-02-15 04:19:00,341.7
2023-02-15 05:37:00,340.17
2023-02-15 06:56:00,351.47
2023-02-15 08:14:00,341.2
2023-02-15 09:32:00,330.78
2023-02-15 10:50:00,317.1
2023-02-15 12:08:00,350.68
2023-02-15 13:26:00,332.7
2023-02-15 14:46:00,210.62
